datetime,open,high,low,close,volume
2025-02-26 14:30:00,515.54,515.54,514.5,514.5,440559
2025-02-26 14:31:00,514.5,515.59,514.465,515.59,168749
2025-02-26 14:32:00,515.58,515.62,514.66,515.0,193320
2025-02-26 14:33:00,515.0,515.03,514.64,514.975,119798
2025-02-26 14:34:00,514.975,515.27,514.81,514.82,89656
2025-02-26 14:35:00,514.82,515.09,514.39,515.02,127195
2025-02-26 14:36:00,515.02,515.22,514.79,514.99,100063
2025-02-26 14:37:00,514.99,515.95,514.89,515.91,560318
2025-02-26 14:38:00,515.91,516.37,515.875,516.1,143557
2025-02-26 14:39:00,516.1,516.43,515.81,516.24,99092
2025-02-26 14:40:00,516.23,516.34,515.6501,515.74,133532
2025-02-26 14:41:00,515.75,516.1,515.63,515.8096,69734
2025-02-26 14:42:00,515.79,515.82,514.54,514.919,159935
2025-02-26 14:43:00,514.919,515.4,514.57,515.36,68050
2025-02-26 14:44:00,515.36,515.5399,515.15,515.48,66799
2025-02-26 14:45:00,515.48,515.69,515.05,515.569,75600
2025-02-26 14:46:00,515.569,515.72,515.18,515.41,55794
2025-02-26 14:47:00,515.41,516.015,515.38,515.93,57797
2025-02-26 14:48:00,516.0,516.36,515.76,516.07,73680
2025-02-26 14:49:00,516.07,516.5,515.96,516.5,77358
2025-02-26 14:50:00,516.5,516.59,516.12,516.2,87679
2025-02-26 14:51:00,516.1825,516.63,516.16,516.63,87123
2025-02-26 14:52:00,516.63,517.11,516.49,517.02,113013
2025-02-26 14:53:00,517.02,517.05,516.56,516.69,94770
2025-02-26 14:54:00,516.71,517.26,516.71,517.24,80505
2025-02-26 14:55:00,517.24,517.37,516.83,516.89,121302
2025-02-26 14:56:00,516.89,516.97,516.29,516.69,87133
2025-02-26 14:57:00,516.66,516.6799,516.2,516.485,79442
2025-02-26 14:58:00,516.485,516.99,516.15,516.9,47715
2025-02-26 14:59:00,516.9,517.1899,516.85,517.09,77104
2025-02-26 15:00:00,517.09,517.29,516.6301,516.97,102678
2025-02-26 15:01:00,516.97,517.41,516.79,516.82,71562
2025-02-26 15:02:00,516.82,517.08,516.7,517.03,51624
2025-02-26 15:03:00,517.03,517.5,517.0237,517.37,69848
2025-02-26 15:04:00,517.37,517.53,516.995,517.16,98467
2025-02-26 15:05:00,517.16,517.27,516.88,517.03,49274
2025-02-26 15:06:00,517.03,517.03,516.34,516.395,76270
2025-02-26 15:07:00,516.395,517.02,516.2,517.02,132157
2025-02-26 15:08:00,517.02,517.3402,516.75,516.83,67975
2025-02-26 15:09:00,516.83,517.28,516.74,517.16,122142
2025-02-26 15:10:00,517.16,517.4197,517.0,517.13,150404
2025-02-26 15:11:00,517.17,517.27,516.85,517.1,92702
2025-02-26 15:12:00,517.1,517.87,517.1,517.78,135273
2025-02-26 15:13:00,517.78,517.78,517.34,517.65,81823
2025-02-26 15:14:00,517.65,517.955,517.63,517.74,97682
2025-02-26 15:15:00,517.745,517.765,517.46,517.765,68561
2025-02-26 15:16:00,517.765,518.06,517.58,518.02,343245
2025-02-26 15:17:00,518.02,518.105,517.815,518.05,44174
2025-02-26 15:18:00,518.05,518.4,517.96,518.35,76731
2025-02-26 15:19:00,518.35,518.6,518.25,518.43,125841
2025-02-26 15:20:00,518.43,518.52,518.22,518.3499,68080
2025-02-26 15:21:00,518.3499,518.46,518.17,518.45,48397
2025-02-26 15:22:00,518.45,518.79,518.45,518.64,73429
2025-02-26 15:23:00,518.64,518.64,518.1299,518.2,150961
2025-02-26 15:24:00,518.19,518.2,517.53,517.81,155637
2025-02-26 15:25:00,517.84,518.06,517.44,517.68,56777
2025-02-26 15:26:00,517.68,517.95,517.6103,517.86,49438
2025-02-26 15:27:00,517.86,517.94,517.53,517.53,53384
2025-02-26 15:28:00,517.53,517.55,516.88,517.08,118624
2025-02-26 15:29:00,517.08,517.14,516.37,516.65,102913
2025-02-26 15:30:00,516.65,517.3885,516.61,517.3299,101577
2025-02-26 15:31:00,517.3299,517.56,517.24,517.26,70857
2025-02-26 15:32:00,517.26,517.66,517.26,517.6099,46707
2025-02-26 15:33:00,517.6099,517.71,517.44,517.58,135033
2025-02-26 15:34:00,517.58,517.68,517.25,517.32,58499
2025-02-26 15:35:00,517.354,517.62,517.135,517.355,152881
2025-02-26 15:36:00,517.355,518.13,517.251,517.87,77214
2025-02-26 15:37:00,517.87,518.31,517.7231,518.15,49349
2025-02-26 15:38:00,518.15,518.2774,517.96,517.96,50007
2025-02-26 15:39:00,517.96,517.96,517.37,517.59,58761
2025-02-26 15:40:00,517.59,518.25,517.48,518.25,46889
2025-02-26 15:41:00,518.25,518.26,517.63,517.93,35700
2025-02-26 15:42:00,517.93,517.96,517.63,517.855,25599
2025-02-26 15:43:00,517.855,518.1,517.75,518.1,124595
2025-02-26 15:44:00,518.08,518.25,517.77,517.84,47726
2025-02-26 15:45:00,517.84,517.95,517.513,517.68,88892
2025-02-26 15:46:00,517.68,518.05,517.68,517.88,47293
2025-02-26 15:47:00,517.88,518.05,517.81,517.93,28852
2025-02-26 15:48:00,517.93,518.17,517.93,518.15,126797
2025-02-26 15:49:00,518.15,518.27,517.95,518.04,41242
2025-02-26 15:50:00,518.04,518.08,517.37,517.65,81194
2025-02-26 15:51:00,517.65,517.93,517.6277,517.88,40829
2025-02-26 15:52:00,517.88,517.93,517.5988,517.93,27274
2025-02-26 15:53:00,517.93,518.39,517.93,518.1898,82323
2025-02-26 15:54:00,518.1898,518.279,517.6,517.89,75882
2025-02-26 15:55:00,517.89,518.17,517.61,518.1691,61404
2025-02-26 15:56:00,518.18,518.31,518.06,518.165,43213
2025-02-26 15:57:00,518.165,518.29,518.1,518.22,30748
2025-02-26 15:58:00,518.22,518.25,518.01,518.16,34080
2025-02-26 15:59:00,518.16,518.39,518.16,518.31,31019
2025-02-26 16:00:00,518.32,518.72,518.32,518.6099,102810
2025-02-26 16:01:00,518.6099,518.94,518.46,518.94,70998
2025-02-26 16:02:00,518.94,518.98,518.46,518.63,70186
2025-02-26 16:03:00,518.63,518.7,518.32,518.61,59532
2025-02-26 16:04:00,518.61,518.8,518.58,518.59,29050
2025-02-26 16:05:00,518.59,519.14,518.575,519.0496,53600
2025-02-26 16:06:00,519.0496,519.27,519.0496,519.17,63923
2025-02-26 16:07:00,519.17,519.205,518.92,519.08,60586
2025-02-26 16:08:00,519.08,519.28,519.07,519.245,31398
2025-02-26 16:09:00,519.245,519.34,519.0501,519.1299,38517
2025-02-26 16:10:00,519.1299,519.36,519.1299,519.26,50667
2025-02-26 16:11:00,519.26,519.4,519.19,519.27,30845
2025-02-26 16:12:00,519.28,519.45,519.085,519.19,136986
2025-02-26 16:13:00,519.19,519.53,519.19,519.46,115914
2025-02-26 16:14:00,519.46,519.57,519.4,519.4,45043
2025-02-26 16:15:00,519.4,519.4,519.1,519.16,164932
2025-02-26 16:16:00,519.16,519.28,518.87,518.88,75808
2025-02-26 16:17:00,518.88,519.13,518.78,519.1,36036
2025-02-26 16:18:00,519.0998,519.24,518.84,518.94,32745
2025-02-26 16:19:00,518.94,519.08,518.905,519.08,24158
2025-02-26 16:20:00,519.08,519.2,518.9251,519.15,23707
2025-02-26 16:21:00,519.15,519.2897,519.09,519.13,16276
2025-02-26 16:22:00,519.13,519.39,518.87,518.95,27589
2025-02-26 16:23:00,518.95,518.97,518.5,518.82,71106
2025-02-26 16:24:00,518.82,518.92,518.63,518.9,18520
2025-02-26 16:25:00,518.9,518.97,518.68,518.77,29475
2025-02-26 16:26:00,518.77,518.935,518.54,518.75,38660
2025-02-26 16:27:00,518.75,519.01,518.58,518.58,33476
2025-02-26 16:28:00,518.58,518.76,518.52,518.7,26388
2025-02-26 16:29:00,518.7,518.87,518.63,518.65,21662
2025-02-26 16:30:00,518.65,518.74,518.46,518.51,45860
2025-02-26 16:31:00,518.51,518.51,518.25,518.49,44513
2025-02-26 16:32:00,518.49,518.54,518.31,518.32,76595
2025-02-26 16:33:00,518.32,518.57,518.29,518.55,74864
2025-02-26 16:34:00,518.545,518.7988,518.545,518.61,50781
2025-02-26 16:35:00,518.61,518.985,518.61,518.72,49196
2025-02-26 16:36:00,518.71,518.95,518.7,518.8355,34326
2025-02-26 16:37:00,518.8355,519.29,518.8355,519.22,58493
2025-02-26 16:38:00,519.22,519.46,519.14,519.43,35134
2025-02-26 16:39:00,519.43,519.53,519.31,519.37,35748
2025-02-26 16:40:00,519.37,519.62,519.32,519.33,33629
2025-02-26 16:41:00,519.33,519.41,518.93,519.0012,57111
2025-02-26 16:42:00,519.0012,519.0012,518.4,518.5412,78656
2025-02-26 16:43:00,518.52,518.75,518.42,518.75,30247
2025-02-26 16:44:00,518.75,519.0399,518.7,519.0399,41782
2025-02-26 16:45:00,519.0399,519.1693,518.945,519.04,29289
2025-02-26 16:46:00,519.04,519.12,518.98,519.03,22358
2025-02-26 16:47:00,519.03,519.03,518.78,518.91,38230
2025-02-26 16:48:00,518.91,519.0898,518.84,519.02,27294
2025-02-26 16:49:00,519.04,519.16,519.03,519.16,118532
2025-02-26 16:50:00,519.16,519.24,519.01,519.15,39113
2025-02-26 16:51:00,519.15,519.469,519.15,519.44,24743
2025-02-26 16:52:00,519.44,519.5,519.37,519.37,30274
2025-02-26 16:53:00,519.38,519.56,519.22,519.52,40993
2025-02-26 16:54:00,519.52,519.6588,519.39,519.43,36502
2025-02-26 16:55:00,519.43,519.43,519.21,519.3,70593
2025-02-26 16:56:00,519.3,519.32,518.91,518.9101,47845
2025-02-26 16:57:00,518.9101,518.92,518.7001,518.79,64219
2025-02-26 16:58:00,518.79,518.83,518.4,518.46,128712
2025-02-26 16:59:00,518.46,518.53,518.05,518.26,92181
2025-02-26 17:00:00,518.27,518.35,517.89,518.295,124807
2025-02-26 17:01:00,518.295,518.5,518.29,518.425,91742
2025-02-26 17:02:00,518.425,518.78,518.3801,518.7745,48605
2025-02-26 17:03:00,518.7745,518.7745,518.53,518.67,36069
2025-02-26 17:04:00,518.67,518.89,518.65,518.8,15448
2025-02-26 17:05:00,518.8099,518.87,518.67,518.8399,18404
2025-02-26 17:06:00,518.8399,519.23,518.8399,519.18,38963
2025-02-26 17:07:00,519.18,519.3099,519.18,519.27,52537
2025-02-26 17:08:00,519.27,519.49,519.27,519.405,33966
2025-02-26 17:09:00,519.4104,519.42,518.8,518.885,58952
2025-02-26 17:10:00,518.8904,519.0801,518.83,518.86,17884
