股票,策略,收益率(%),交易次数,胜率(%)
AAPL,"原始策略(无做空,无费用)",0.63,39,66.67
AAPL,"原始策略(有做空,无费用)",4.29,58,70.69
AAPL,"高级止损策略(有做空,无费用)",2.79,70,70.0
AAPL,"智能止损策略(有做空,无费用)",3.53,58,67.24
AAPL,"原始策略(无做空,有费用)",-3.61,43,48.84
AAPL,"原始策略(有做空,有费用)",-2.16,58,53.45
AAPL,"高级止损策略(有做空,有费用)",-6.33,77,41.56
AAPL,"智能止损策略(有做空,有费用)",-2.45,61,54.1
QQQ,"原始策略(无做空,无费用)",2.97,38,68.42
QQQ,"原始策略(有做空,无费用)",12.03,72,68.06
QQQ,"高级止损策略(有做空,无费用)",11.96,548,54.74
QQQ,"智能止损策略(有做空,无费用)",8.08,327,62.39
QQQ,"原始策略(无做空,有费用)",-0.83,38,52.63
QQQ,"原始策略(有做空,有费用)",3.69,72,55.56
QQQ,"高级止损策略(有做空,有费用)",-40.63,565,23.01
QQQ,"智能止损策略(有做空,有费用)",-24.47,334,40.72
NVDA,"原始策略(无做空,无费用)",8.28,250,58.8
NVDA,"原始策略(有做空,无费用)",36.8,356,60.67
NVDA,"高级止损策略(有做空,无费用)",25.7,514,57.39
NVDA,"智能止损策略(有做空,无费用)",35.5,342,62.57
NVDA,"原始策略(无做空,有费用)",-14.91,255,50.59
NVDA,"原始策略(有做空,有费用)",-13.95,365,49.04
NVDA,"高级止损策略(有做空,有费用)",-37.96,518,35.71
NVDA,"智能止损策略(有做空,有费用)",-13.04,348,50.57
