股票,策略,收益率(%),交易次数,胜率(%)
QQQ,"原始策略(无做空,无费用,100万)",5.34,105,63.81
QQQ,"原始策略(有做空,无费用,100万)",5.34,105,63.81
QQQ,"高级止损策略(有做空,无费用,100万)",8.61,573,55.32
QQQ,"智能止损策略(有做空,无费用,100万)",8.46,332,62.05
QQQ,"原始策略(无做空,有费用,100万)",-1.74,105,50.48
QQQ,"原始策略(有做空,有费用,100万)",-1.74,105,50.48
QQQ,"高级止损策略(有做空,有费用,100万)",-27.09,587,30.83
QQQ,"智能止损策略(有做空,有费用,100万)",-13.92,339,48.97
AAPL,"原始策略(无做空,无费用,100万)",5.29,142,52.82
AAPL,"原始策略(有做空,无费用,100万)",5.29,142,52.82
AAPL,"高级止损策略(有做空,无费用,100万)",-2.78,531,57.82
AAPL,"智能止损策略(有做空,无费用,100万)",-0.86,330,60.0
AAPL,"原始策略(无做空,有费用,100万)",-6.18,143,47.55
AAPL,"原始策略(有做空,有费用,100万)",-6.18,143,47.55
AAPL,"高级止损策略(有做空,有费用,100万)",-37.91,551,33.39
AAPL,"智能止损策略(有做空,有费用,100万)",-23.13,339,48.38
