datetime,symbol,time,open,high,low,close,volume,amount,next_page_token
2025-03-27 14:20:00,GOOGL,1743085200000,164.31,164.38,164.07,164.08,63805,10477864.593300018,
2025-03-27 14:21:00,GOOGL,1743085260000,164.08,164.17,164.02,164.055,53426,8767216.952519994,
2025-03-27 14:22:00,GOOGL,1743085320000,164.055,164.055,163.85,163.85,66430,10892704.476200005,
2025-03-27 14:23:00,GOOGL,1743085380000,163.85,163.925,163.71,163.71,55361,9070291.034199972,
2025-03-27 14:24:00,GOOGL,1743085440000,163.71,163.85,163.61,163.83,70310,11510675.200949993,
2025-03-27 14:25:00,GOOGL,1743085500000,163.855,164.11,163.81,164.0978,76754,12582166.95540001,
2025-03-27 14:26:00,GOOGL,1743085560000,164.0978,164.1553,163.98,164.045,55729,9143422.787999993,
2025-03-27 14:27:00,GOOGL,1743085620000,164.04,164.2193,164.035,164.2099,60864,9988932.514599996,
2025-03-27 14:28:00,GOOGL,1743085680000,164.205,164.24,164.11,164.23,53120,8721655.636500008,
2025-03-27 14:29:00,GOOGL,1743085740000,164.235,164.48,164.23,164.45,75163,12356361.243099995,
2025-03-27 14:30:00,GOOGL,1743085800000,164.45,164.53,164.35,164.3947,66372,10914965.76409999,
2025-03-27 14:31:00,GOOGL,1743085860000,164.3947,164.585,164.3947,164.48,89017,14642203.430339979,
2025-03-27 14:32:00,GOOGL,1743085920000,164.48,164.49,164.39,164.45,45168,7427280.201700009,
2025-03-27 14:33:00,GOOGL,1743085980000,164.45,164.46,164.32,164.33,41499,6821109.963000029,
2025-03-27 14:34:00,GOOGL,1743086040000,164.335,164.3828,164.2335,164.37,47251,7763204.506900007,
2025-03-27 14:35:00,GOOGL,1743086100000,164.37,164.38,164.25,164.26,44197,7261824.128119988,
2025-03-27 14:36:00,GOOGL,1743086160000,164.26,164.275,164.11,164.14,60199,9883664.662499981,
2025-03-27 14:37:00,GOOGL,1743086220000,164.14,164.33,164.13,164.3,68739,11291075.67119998,
2025-03-27 14:38:00,GOOGL,1743086280000,164.3,164.34,164.25,164.285,82954,13629227.51059999,
2025-03-27 14:39:00,GOOGL,1743086340000,164.285,164.33,164.18,164.19,61452,10094089.417559959,
2025-03-27 14:40:00,GOOGL,1743086400000,164.19,164.19,164.01,164.1107,60939,10000092.4701,
2025-03-27 14:41:00,GOOGL,1743086460000,164.1107,164.18,164.09,164.16,64081,10518509.087100014,
2025-03-27 14:42:00,GOOGL,1743086520000,164.16,164.16,163.96,163.9701,64558,10590348.83577997,
2025-03-27 14:43:00,GOOGL,1743086580000,163.9701,164.03,163.945,164.0,59172,9704237.77509998,
2025-03-27 14:44:00,GOOGL,1743086640000,164.0,164.0,163.87,163.93,53229,8725940.496799992,
2025-03-27 14:45:00,GOOGL,1743086700000,163.93,164.12,163.91,164.0701,67044,10997958.992899986,
2025-03-27 14:46:00,GOOGL,1743086760000,164.0701,164.16,164.06,164.12,68774,11285770.149699984,
2025-03-27 14:47:00,GOOGL,1743086820000,164.12,164.21,164.04,164.05,59790,9814069.959599959,
2025-03-27 14:48:00,GOOGL,1743086880000,164.05,164.07,163.94,163.98,50620,8300967.189500021,
2025-03-27 14:49:00,GOOGL,1743086940000,163.98,164.02,163.82,163.87,43336,7103491.451399997,
2025-03-27 14:50:00,GOOGL,1743087000000,163.87,164.02,163.87,163.93,60061,9846681.1731,
2025-03-27 14:51:00,GOOGL,1743087060000,163.93,164.03,163.86,164.03,54212,8887682.4755,
2025-03-27 14:52:00,GOOGL,1743087120000,164.03,164.085,164.0,164.045,42339,6945185.918899981,
2025-03-27 14:53:00,GOOGL,1743087180000,164.045,164.2,164.04,164.1542,81688,13407083.258300029,
2025-03-27 14:54:00,GOOGL,1743087240000,164.155,164.2015,164.0809,164.2015,44270,7266828.481100021,
2025-03-27 14:55:00,GOOGL,1743087300000,164.2015,164.265,164.18,164.24,67611,11104372.036099933,
2025-03-27 14:56:00,GOOGL,1743087360000,164.24,164.255,164.085,164.1599,78278,12851931.376200002,
2025-03-27 14:57:00,GOOGL,1743087420000,164.1599,164.255,164.13,164.245,44905,7373528.128100014,
2025-03-27 14:58:00,GOOGL,1743087480000,164.245,164.27,164.16,164.17,61643,10123632.130299984,
2025-03-27 14:59:00,GOOGL,1743087540000,164.1699,164.31,164.11,164.3,66273,10882759.542700002,
2025-03-27 15:00:00,GOOGL,1743087600000,164.3,164.5,164.29,164.5,90153,14821896.849500034,
2025-03-27 15:01:00,GOOGL,1743087660000,164.5,164.53,164.44,164.49,38094,6266090.726929998,
2025-03-27 15:02:00,GOOGL,1743087720000,164.49,164.53,164.42,164.485,61619,10135141.597500015,
2025-03-27 15:03:00,GOOGL,1743087780000,164.485,164.51,164.36,164.38,132742,21833842.624699976,
2025-03-27 15:04:00,GOOGL,1743087840000,164.38,164.42,164.3061,164.38,24357,4003564.6341999955,
2025-03-27 15:05:00,GOOGL,1743087900000,164.38,164.62,164.36,164.6,41182,6774596.092300003,
2025-03-27 15:06:00,GOOGL,1743087960000,164.6,164.7018,164.5901,164.63,61299,10093035.093399992,
2025-03-27 15:07:00,GOOGL,1743088020000,164.63,164.71,164.6,164.635,52751,8686203.122500014,
2025-03-27 15:08:00,GOOGL,1743088080000,164.635,164.635,164.45,164.46,48258,7938701.400299991,
2025-03-27 15:09:00,GOOGL,1743088140000,164.46,164.46,164.4,164.43,26316,4327193.677600002,
2025-03-27 15:10:00,GOOGL,1743088200000,164.435,164.65,164.39,164.58,64074,10542573.056599999,
2025-03-27 15:11:00,GOOGL,1743088260000,164.58,164.66,164.475,164.66,46299,7619499.561699989,
2025-03-27 15:12:00,GOOGL,1743088320000,164.66,164.67,164.51,164.535,29089,4787824.493400001,
2025-03-27 15:13:00,GOOGL,1743088380000,164.535,164.55,164.46,164.535,18643,3066852.2113999985,
2025-03-27 15:14:00,GOOGL,1743088440000,164.535,164.64,164.535,164.64,30143,4960883.636100003,
2025-03-27 15:15:00,GOOGL,1743088500000,164.64,164.64,164.49,164.51306,29944,4927101.752860003,
2025-03-27 15:16:00,GOOGL,1743088560000,164.51306,164.545,164.36,164.3664,25793,4241549.605199997,
2025-03-27 15:17:00,GOOGL,1743088620000,164.3664,164.41,164.3,164.4,33870,5566670.938300006,
2025-03-27 15:18:00,GOOGL,1743088680000,164.4,164.405,164.27,164.27,23053,3788621.7794999992,
2025-03-27 15:19:00,GOOGL,1743088740000,164.27,164.42,164.255,164.395,36544,6006112.442800002,
2025-03-27 15:20:00,GOOGL,1743088800000,164.395,164.41,164.21,164.23,33530,5509638.960800001,
2025-03-27 15:21:00,GOOGL,1743088860000,164.23,164.3,164.2015,164.27,29876,4907428.358099993,
2025-03-27 15:22:00,GOOGL,1743088920000,164.27,164.2792,164.08,164.1,30473,5002728.237899991,
2025-03-27 15:23:00,GOOGL,1743088980000,164.1,164.23,164.09,164.19,30201,4957982.906500005,
2025-03-27 15:24:00,GOOGL,1743089040000,164.19,164.23,164.07,164.145,35682,5857435.818100002,
2025-03-27 15:25:00,GOOGL,1743089100000,164.145,164.16,164.06,164.125,36159,5934094.874099994,
2025-03-27 15:26:00,GOOGL,1743089160000,164.125,164.16,164.03,164.05,29365,4818380.766799997,
2025-03-27 15:27:00,GOOGL,1743089220000,164.05,164.06,163.97,163.97,30187,4951077.222599993,
2025-03-27 15:28:00,GOOGL,1743089280000,163.97,164.0,163.8901,163.935,34124,5594159.180400002,
2025-03-27 15:29:00,GOOGL,1743089340000,163.935,163.935,163.83,163.855,41310,6769773.805500002,
