datetime,open,high,low,close,volume
2025-03-10 13:30:00,483.5,483.59,482.87,483.44,676531
2025-03-10 13:31:00,483.42,483.86,482.7,483.6299,207820
2025-03-10 13:32:00,483.6299,483.63,481.88,482.2,339279
2025-03-10 13:33:00,482.2,482.25,481.19,481.53,237606
2025-03-10 13:34:00,481.54,481.97,481.25,481.96,305614
2025-03-10 13:35:00,481.96,482.92,481.88,482.725,242947
2025-03-10 13:36:00,482.725,482.89,481.71,482.03,226137
2025-03-10 13:37:00,482.03,482.28,481.64,482.23,185603
2025-03-10 13:38:00,482.25,482.795,482.13,482.455,186086
2025-03-10 13:39:00,482.455,482.76,481.98,482.456,170717
2025-03-10 13:40:00,482.456,483.31,482.04,483.23,217349
2025-03-10 13:41:00,483.23,483.62,482.82,482.99,200252
2025-03-10 13:42:00,482.99,483.4652,482.83,483.29,141797
2025-03-10 13:43:00,483.29,483.67,482.88,483.15,132706
2025-03-10 13:44:00,483.15,483.97,482.96,483.5363,152664
2025-03-10 13:45:00,483.5363,483.83,483.1581,483.48,160175
2025-03-10 13:46:00,483.48,483.87,482.94,482.9899,127410
2025-03-10 13:47:00,483.0,483.0,482.105,482.71,182857
2025-03-10 13:48:00,482.71,482.715,481.92,482.06,166737
2025-03-10 13:49:00,482.06,482.73,481.6,482.43,154951
2025-03-10 13:50:00,482.47,483.08,482.31,482.77,126125
2025-03-10 13:51:00,482.77,483.04,481.47,481.54,547913
2025-03-10 13:52:00,481.61,481.82,481.07,481.57,202408
2025-03-10 13:53:00,481.53,481.53,480.94,481.0,201719
2025-03-10 13:54:00,481.0,481.04,480.2,480.6805,267506
2025-03-10 13:55:00,480.6805,481.51,480.6805,481.39,166457
2025-03-10 13:56:00,481.39,481.98,480.9909,481.665,208141
2025-03-10 13:57:00,481.59,482.05,481.54,481.83,97982
2025-03-10 13:58:00,481.83,482.18,481.6,481.84,106736
2025-03-10 13:59:00,481.84,481.84,481.18,481.25,127512
2025-03-10 14:00:00,481.25,481.25,480.02,480.69,274301
2025-03-10 14:01:00,480.69,480.72,479.92,479.92,306775
2025-03-10 14:02:00,479.92,480.0,479.33,479.4495,216158
2025-03-10 14:03:00,479.4495,479.84,479.13,479.26,210063
2025-03-10 14:04:00,479.27,479.44,478.86,479.24,173096
2025-03-10 14:05:00,479.24,479.78,479.05,479.38,144663
2025-03-10 14:06:00,479.375,479.49,478.91,479.46,135978
2025-03-10 14:07:00,479.445,479.94,479.36,479.62,165566
2025-03-10 14:08:00,479.62,479.66,479.14,479.38,138724
2025-03-10 14:09:00,479.38,479.77,479.0525,479.13,148261
2025-03-10 14:10:00,479.13,479.31,478.73,479.17,199252
2025-03-10 14:11:00,479.17,479.79,479.03,479.61,158196
2025-03-10 14:12:00,479.61,479.94,479.3543,479.8448,151383
2025-03-10 14:13:00,479.8448,480.02,479.2812,479.5,188793
2025-03-10 14:14:00,479.5,479.79,479.5,479.57,124574
2025-03-10 14:15:00,479.57,480.28,479.17,479.86,186667
2025-03-10 14:16:00,479.86,480.2,479.55,479.75,128190
2025-03-10 14:17:00,479.75,479.82,478.85,479.02,135091
2025-03-10 14:18:00,478.99,479.35,478.87,479.06,145448
2025-03-10 14:19:00,479.06,479.13,478.47,478.88,234373
2025-03-10 14:20:00,478.88,479.2,478.33,478.46,137368
2025-03-10 14:21:00,478.41,478.98,477.97,478.42,222694
2025-03-10 14:22:00,478.42,478.6,478.11,478.5541,89706
2025-03-10 14:23:00,478.5541,479.72,478.5541,479.5,174765
2025-03-10 14:24:00,479.5,479.62,479.03,479.42,109061
2025-03-10 14:25:00,479.42,479.62,479.15,479.38,116574
2025-03-10 14:26:00,479.38,479.56,478.69,479.04,106311
2025-03-10 14:27:00,479.09,479.29,478.64,478.68,81070
2025-03-10 14:28:00,478.68,478.78,478.41,478.72,99991
2025-03-10 14:29:00,478.72,478.7788,478.16,478.3,163881
2025-03-10 14:30:00,478.3,478.45,477.71,478.36,268569
2025-03-10 14:31:00,478.36,478.985,478.23,478.51,181628
2025-03-10 14:32:00,478.5362,478.7,477.9,478.16,162456
2025-03-10 14:33:00,478.16,478.18,477.79,477.93,126334
2025-03-10 14:34:00,477.93,477.94,477.25,477.54,386852
2025-03-10 14:35:00,477.54,477.73,477.375,477.55,344677
2025-03-10 14:36:00,477.55,478.05,477.21,477.51,214031
2025-03-10 14:37:00,477.51,478.49,477.385,477.95,161979
2025-03-10 14:38:00,477.91,478.7,477.81,478.56,174652
2025-03-10 14:39:00,478.56,478.6734,477.87,478.01,172376
2025-03-10 14:40:00,478.01,478.11,477.7,477.78,188504
2025-03-10 14:41:00,477.8096,478.04,477.4,477.47,130364
2025-03-10 14:42:00,477.47,477.88,477.3,477.69,82879
2025-03-10 14:43:00,477.69,477.83,477.06,477.53,219854
2025-03-10 14:44:00,477.53,477.53,477.105,477.155,232776
2025-03-10 14:45:00,477.155,477.1797,476.76,476.78,223731
2025-03-10 14:46:00,476.78,476.98,476.43,476.5938,142571
2025-03-10 14:47:00,476.62,477.0896,476.37,477.05,181163
2025-03-10 14:48:00,477.05,477.76,476.9601,477.62,171098
2025-03-10 14:49:00,477.63,477.63,476.59,477.02,141083
2025-03-10 14:50:00,477.02,477.16,476.68,476.77,78402
2025-03-10 14:51:00,476.77,476.92,476.26,476.53,128666
2025-03-10 14:52:00,476.53,476.54,475.84,475.9,223767
2025-03-10 14:53:00,475.9,476.12,475.71,475.97,178973
2025-03-10 14:54:00,475.97,476.01,475.49,475.6301,186705
2025-03-10 14:55:00,475.66,475.76,475.09,475.15,339239
2025-03-10 14:56:00,475.15,475.32,474.82,475.1691,351425
2025-03-10 14:57:00,475.1691,475.24,474.715,475.17,264324
2025-03-10 14:58:00,475.17,475.38,474.93,475.3,395689
2025-03-10 14:59:00,475.27,475.73,475.25,475.53,204083
2025-03-10 15:00:00,475.53,476.26,475.4,475.77,297496
2025-03-10 15:01:00,475.8285,476.52,475.71,476.1,228948
2025-03-10 15:02:00,476.1,476.46,475.6,476.4,181412
2025-03-10 15:03:00,476.4,476.47,475.95,476.2,160693
2025-03-10 15:04:00,476.2,476.24,475.69,475.94,127995
2025-03-10 15:05:00,475.94,476.26,475.68,475.8,165690
2025-03-10 15:06:00,475.8,476.64,475.66,476.58,151375
2025-03-10 15:07:00,476.5899,476.71,476.26,476.69,203366
2025-03-10 15:08:00,476.67,476.74,476.12,476.41,124788
2025-03-10 15:09:00,476.43,476.95,476.14,476.8325,174451
2025-03-10 15:10:00,476.82,476.83,476.395,476.67,97680
2025-03-10 15:11:00,476.67,476.77,476.22,476.26,202386
2025-03-10 15:12:00,476.26,476.7299,476.23,476.64,286961
2025-03-10 15:13:00,476.64,477.075,476.61,476.785,203762
2025-03-10 15:14:00,476.785,477.0599,476.51,476.83,186241
2025-03-10 15:15:00,476.83,476.83,476.28,476.74,149767
2025-03-10 15:16:00,476.74,476.87,476.23,476.43,84944
2025-03-10 15:17:00,476.43,477.02,476.13,476.895,122282
2025-03-10 15:18:00,476.895,476.895,476.22,476.3069,60195
2025-03-10 15:19:00,476.3069,476.3069,475.8043,475.91,137517
2025-03-10 15:20:00,475.91,476.4,475.68,476.13,102284
2025-03-10 15:21:00,476.16,476.22,475.93,476.11,55927
2025-03-10 15:22:00,476.11,476.83,476.0464,476.6313,228874
2025-03-10 15:23:00,476.6313,477.13,476.5,476.97,142609
2025-03-10 15:24:00,476.97,477.47,476.93,476.9725,431523
2025-03-10 15:25:00,476.97,477.4486,476.81,477.07,81158
2025-03-10 15:26:00,477.07,477.21,476.78,477.055,66490
2025-03-10 15:27:00,477.055,477.22,476.82,476.82,51627
2025-03-10 15:28:00,476.82,477.29,476.73,477.15,81825
2025-03-10 15:29:00,477.15,477.5,477.13,477.45,76535
2025-03-10 15:30:00,477.45,477.8371,477.345,477.58,138637
2025-03-10 15:31:00,477.58,478.16,477.56,478.14,123918
2025-03-10 15:32:00,478.14,478.48,478.0001,478.35,251923
2025-03-10 15:33:00,478.35,478.53,477.83,478.44,135264
2025-03-10 15:34:00,478.44,478.63,478.32,478.32,103762
