datetime,open,high,low,close,volume
2025-03-06 14:30:00,68.37,68.41,67.88,68.06,1487847
2025-03-06 14:31:00,68.04,68.16,67.66,67.8112,694486
2025-03-06 14:32:00,67.8112,67.9802,67.63,67.81,688318
2025-03-06 14:33:00,67.81,68.13,67.75,68.0699,899381
2025-03-06 14:34:00,68.07,68.17,67.87,68.06,689646
2025-03-06 14:35:00,68.06,68.06,67.68,67.82,645698
2025-03-06 14:36:00,67.82,67.93,67.5199,67.9,902673
2025-03-06 14:37:00,67.9,68.24,67.79,68.19,726844
2025-03-06 14:38:00,68.19,68.35,68.02,68.32,692936
2025-03-06 14:39:00,68.32,68.47,68.19,68.28,695154
2025-03-06 14:40:00,68.28,68.44,68.09,68.2403,502256
2025-03-06 14:41:00,68.25,68.3,67.77,67.96,740915
2025-03-06 14:42:00,67.96,68.33,67.91,68.26,398822
2025-03-06 14:43:00,68.26,68.31,67.815,67.84,347200
2025-03-06 14:44:00,67.8495,67.9107,67.7038,67.73,351807
2025-03-06 14:45:00,67.73,68.08,67.67,67.92,359367
2025-03-06 14:46:00,67.92,68.01,67.75,67.895,253263
2025-03-06 14:47:00,67.89,68.16,67.86,68.12,264691
2025-03-06 14:48:00,68.13,68.295,67.88,68.05,417797
2025-03-06 14:49:00,68.05,68.345,67.93,68.21,355423
2025-03-06 14:50:00,68.21,68.58,68.1,68.5101,562746
2025-03-06 14:51:00,68.5101,68.73,68.45,68.54,600592
2025-03-06 14:52:00,68.535,68.6293,68.43,68.6,341288
2025-03-06 14:53:00,68.6,68.6799,68.23,68.26,474998
2025-03-06 14:54:00,68.26,68.34,68.13,68.28,245675
2025-03-06 14:55:00,68.29,68.5,68.14,68.3699,222155
2025-03-06 14:56:00,68.35,68.36,67.96,68.05,317280
2025-03-06 14:57:00,68.06,68.15,67.89,68.11,255243
2025-03-06 14:58:00,68.1199,68.28,68.02,68.08,254712
2025-03-06 14:59:00,68.07,68.279,68.04,68.09,232669
2025-03-06 15:00:00,68.09,68.4499,67.805,68.24,606078
2025-03-06 15:01:00,68.24,68.57,68.24,68.33,462390
2025-03-06 15:02:00,68.3299,68.46,68.1704,68.44,302473
2025-03-06 15:03:00,68.44,68.93,68.4,68.85,1038940
2025-03-06 15:04:00,68.85,69.17,68.84,68.9001,807028
2025-03-06 15:05:00,68.9001,69.17,68.87,68.99,414719
2025-03-06 15:06:00,69.01,69.31,68.97,69.1691,629975
2025-03-06 15:07:00,69.1691,69.485,69.09,69.435,601997
2025-03-06 15:08:00,69.435,69.61,69.41,69.45,499619
2025-03-06 15:09:00,69.4497,69.54,69.32,69.3492,389184
2025-03-06 15:10:00,69.3492,69.4,69.17,69.3199,506129
2025-03-06 15:11:00,69.3199,69.5,69.22,69.4391,404403
2025-03-06 15:12:00,69.4397,69.53,69.29,69.3899,297468
2025-03-06 15:13:00,69.3899,69.57,69.3284,69.36,333690
2025-03-06 15:14:00,69.36,69.4,69.24,69.35,208898
2025-03-06 15:15:00,69.35,69.57,69.28,69.48,324819
2025-03-06 15:16:00,69.47,69.6699,69.34,69.43,435426
2025-03-06 15:17:00,69.41,69.72,69.35,69.69,323868
2025-03-06 15:18:00,69.69,69.9451,69.58,69.61,550931
2025-03-06 15:19:00,69.61,69.8494,69.58,69.795,252470
2025-03-06 15:20:00,69.795,69.9401,69.7,69.87,415390
2025-03-06 15:21:00,69.86,70.045,69.8598,70.0199,392337
2025-03-06 15:22:00,70.0073,70.2,69.99,70.15,341574
2025-03-06 15:23:00,70.14,70.1499,70.01,70.02,234847
2025-03-06 15:24:00,70.02,70.1,69.8401,69.89,555390
2025-03-06 15:25:00,69.89,69.92,69.71,69.75,460713
2025-03-06 15:26:00,69.76,69.88,69.37,69.39,762769
2025-03-06 15:27:00,69.39,69.845,69.33,69.76,461241
2025-03-06 15:28:00,69.76,69.85,69.58,69.78,217004
2025-03-06 15:29:00,69.79,70.04,69.79,69.95,366842
2025-03-06 15:30:00,69.94,70.035,69.8,69.87,314674
2025-03-06 15:31:00,69.86,69.929,69.71,69.76,208081
2025-03-06 15:32:00,69.76,69.855,69.54,69.8,306409
2025-03-06 15:33:00,69.7927,69.93,69.64,69.74,180352
2025-03-06 15:34:00,69.74,69.8,69.585,69.63,144790
2025-03-06 15:35:00,69.63,69.735,69.48,69.72,227990
2025-03-06 15:36:00,69.7299,69.86,69.6293,69.72,162530
2025-03-06 15:37:00,69.71,69.925,69.66,69.82,164748
2025-03-06 15:38:00,69.82,69.96,69.73,69.92,173468
2025-03-06 15:39:00,69.92,70.37,69.915,70.305,444459
2025-03-06 15:40:00,70.3,70.4962,70.25,70.43,327166
2025-03-06 15:41:00,70.435,70.4693,70.01,70.27,306919
2025-03-06 15:42:00,70.27,70.3891,70.18,70.245,199276
2025-03-06 15:43:00,70.23,70.3293,70.17,70.18,197800
2025-03-06 15:44:00,70.18,70.3988,70.17,70.31,330449
2025-03-06 15:45:00,70.31,70.45,70.17,70.185,233366
2025-03-06 15:46:00,70.19,70.345,70.1,70.155,223215
2025-03-06 15:47:00,70.155,70.26,70.06,70.1046,135034
2025-03-06 15:48:00,70.1046,70.17,69.89,70.128,312778
2025-03-06 15:49:00,70.125,70.14,69.91,69.93,137226
2025-03-06 15:50:00,69.93,69.98,69.68,69.72,371646
2025-03-06 15:51:00,69.72,69.86,69.64,69.78,203459
2025-03-06 15:52:00,69.78,69.86,69.66,69.7546,161317
2025-03-06 15:53:00,69.75,69.8903,69.72,69.81,116752
2025-03-06 15:54:00,69.81,69.82,69.325,69.39,366911
2025-03-06 15:55:00,69.4,69.5065,69.21,69.385,296577
2025-03-06 15:56:00,69.385,69.42,69.18,69.24,146570
2025-03-06 15:57:00,69.24,69.5314,69.24,69.515,168428
2025-03-06 15:58:00,69.515,69.59,69.43,69.455,103787
2025-03-06 15:59:00,69.455,69.68,69.43,69.6354,314408
